model_family,feature_set,configuration,calibration_method,threshold,alert_count,true_positives,false_positives,false_negatives,precision,recall,f0_5,threshold_validation_rows,precision_target_met,precision_shortfall
histogram_gradient_boosting,all_166,hgb_15_leaves,isotonic,0.4,516,477,39,31,0.9244186046511628,0.9389763779527559,0.9272939346811819,2989,True,0.0
histogram_gradient_boosting,all_166,hgb_15_leaves,sigmoid,0.39166662372738353,528,481,47,27,0.9109848484848485,0.9468503937007874,0.9179389312977099,2989,True,0.0
logistic_regression,all_166,C=10,isotonic,0.8669527896995708,625,369,256,139,0.5904,0.7263779527559056,0.6133643617021277,2989,False,0.3096
logistic_regression,all_166,C=10,sigmoid,0.6967055687389511,296,201,95,307,0.6790540540540541,0.3956692913385827,0.5939716312056738,2989,False,0.22094594594594597
random_forest,all_166,rf_deep_leaf_1,isotonic,0.14285714285714285,530,497,33,11,0.9377358490566038,0.9783464566929134,0.9455859969558601,2989,True,0.0
random_forest,all_166,rf_deep_leaf_1,sigmoid,0.09869864938659138,545,498,47,10,0.9137614678899083,0.9803149606299213,0.9263392857142858,2989,True,0.0
