model_family,feature_set,configuration,calibration_method,calibration_rows,raw_brier_score,calibrated_brier_score,raw_log_loss,calibrated_log_loss
logistic_regression,all_166,C=10,sigmoid,2705,0.14303502440452576,0.0748036124190612,0.552627682685852,0.23541212753503787
logistic_regression,all_166,C=10,isotonic,2705,0.14303502440452576,0.05489769955194377,0.552627682685852,0.18400739487281514
random_forest,all_166,rf_deep_leaf_1,sigmoid,2705,0.027417284863421647,0.021883275560837682,0.11025525144199994,0.09252432967942646
random_forest,all_166,rf_deep_leaf_1,isotonic,2705,0.027417284863421647,0.01961644575410197,0.11025525144199994,0.07219325392153171
histogram_gradient_boosting,all_166,hgb_15_leaves,sigmoid,2705,0.02254913918115598,0.021518989197250878,0.0805383626093761,0.08564999751265795
histogram_gradient_boosting,all_166,hgb_15_leaves,isotonic,2705,0.02254913918115598,0.018718808364278194,0.0805383626093761,0.06307763805689642
