period,rows,licit_count,illicit_count,alert_count,true_negatives,false_positives,false_negatives,true_positives,prevalence,precision,recall,f0_5,average_precision,pr_auc,roc_auc,alert_rate,workload_reduction,review_efficiency_lift,reviews_per_detected_illicit
before_43_steps_35_42,9983,9069,914,1101,8761,308,121,793,0.09155564459581288,0.7202543142597638,0.8676148796498906,0.7455810455058293,0.9053796438057062,0.9063133306800952,0.9570911849417051,0.11028748873084243,0.8897125112691575,7.8668477234739855,1.3883984867591426
step_43_and_after_steps_43_49,6687,6518,169,311,6213,305,163,6,0.025272917601315985,0.01929260450160772,0.03550295857988166,0.021231422505307854,0.03410891951950039,0.03280106212811133,0.6010724057729981,0.0465081501420667,0.9534918498579333,0.7633706881789989,51.833333333333336
